"","S0","F0","L0","I0","J0","S1","F1","L1","I1","J1","N0","N1","cL0","cF0","cI0","cJ0","cL1","cF1","cI1","cJ1","cN0","cN1","Ct","Cl","Pt","Pl","LTBIEn","natdeath0","natdeath1","tbdeath0","tbdeath1","progAcute0","activation0","progAcute1","activation1","exogenous0","exogenous1"
"36",310.50699199457,0.0004434322214513,0.797000398379703,0.00104053603818345,0.000429147631567185,49.1101874058545,0.00135102437797819,4.62331056618322,0.003540633035276,0.00146026108234547,311.305905508841,53.7398498905333,1711560653.76204,19571618.1644887,916426540.447924,377961228.546319,3772574436.28757,22860956.8661155,1310994465.24204,540692632.557452,3025520040.92077,5647122490.95318,6125.58700148165,306.143431344568,0,0,8.65046785880629,99.8351762160357,22.3262931565091,0.0118628577849119,0.0170161808351842,0.0430738248187793,0.0794790907411317,0.0550151564771923,0.136664096128714,8.19971149158115e-05,0.00149029348530443
"37",312.596535389993,0.000424775690613851,0.760639098688232,0.000994116447981875,0.000410002828828683,49.7414759577788,0.00135499938188519,4.6356857850978,0.00355012894923839,0.00146417747623956,313.359003383649,54.383531048684,1722304163.16437,19702607.9512095,922312408.982459,380388733.648133,3836443918.4598,23270393.8145219,1333555429.1637,549997436.886725,3044707913.74617,5743267178.32475,5982.43423045875,298.988969165379,0,0,8.92352208384503,103.028057298178,23.1374607020266,0.0119960747948985,0.0174802854310203,0.0435747106826115,0.0803511762726901,0.0565749008747078,0.140367666494267,8.2252075319894e-05,0.00151914447958075
"38",314.702080484175,0.000406982521103805,0.72596344056816,0.000949854437382787,0.000391747875304765,50.3725248338178,0.0013593120715369,4.64936078805069,0.00356062924559392,0.00146850810693987,315.429792509577,55.0282740712926,1732318083.98308,19825127.4975056,927805542.172682,382654263.155965,3898996350.17989,23671650.3317514,1355655452.54524,559112135.795496,3062603016.80924,5837435588.85238,5842.62688834684,292.001704201066,0,0,9.19859349960041,106.24199579442,23.9583441895539,0.0121233651044924,0.0179456654309029,0.0440544170133448,0.0811834896520679,0.0581400656243216,0.144081662363572,8.24835828191583e-05,0.00154781213660574
"39",316.823793387306,0.000390014016261136,0.692895362807483,0.000907650388985254,0.000374341685852676,51.0034508055789,0.00136395033494192,4.66427729195462,0.003572089483496,0.00147323464573564,317.518360756204,55.6741373719977,1741652314.55301,19939747.3218677,932932656.154271,384768835.58905,3960275125.66802,24064979.5605909,1377309454.82999,568042882.500506,3079293553.61819,5929692442.55911,5706.08679367225,285.17772911269,0,0,9.4756961334029,109.477173153493,24.7889596472338,0.012245003893638,0.018412449549922,0.0445139308062454,0.0819778746953663,0.059711027702313,0.147807100002375,8.26938441385223e-05,0.00157631628367849
"40",318.961837785489,0.00037383315248154,0.661360431792483,0.000867409292685273,0.000357745075514265,51.6343669854509,0.0013689024375947,4.68038038021934,0.00358446773064809,0.00147833979851588,319.624797204803,56.321179075637,1750353333.35005,20046999.21159,937718642.100826,386742716.798646,4020321212.26271,24450621.5291416,1398531538.10098,576795493.115093,3094861691.46111,6020098865.00793,5572.7375920343,278.513227874421,0,0,9.7548441220028,112.733771725351,25.6293239849244,0.0123612536736401,0.0188807609063408,0.0449541941424525,0.0827360898387601,0.06128814958408,0.151544950409737,8.2884856290779e-05,0.00160467549651362
"41",321.116375111094,0.0003584045141929,0.63128767180763,0.000829040531915453,0.000341920671354961,52.265383024961,0.0013741570468348,4.69761831225393,0.00359772442355828,0.00148380724813421,321.74919214862,56.9694570259335,1758464433.6706,20147378.8465528,942186690.899107,388585471.387767,4079173324.32778,24828803.9978336,1419335044.13667,585375470.180661,3109383974.80403,6108712642.64295,5442.50471340729,272.004473639584,0,0,10.0360517122606,116.011974773606,26.4794549898396,0.0124723648692078,0.0193507173279075,0.0453761062050559,0.083459812105662,0.0628717798953416,0.155296141934415,8.30584265850497e-05,0.00163290719628623
"42",323.287564705169,0.000343694230532083,0.602609403385045,0.000792457679903591,0.000326832828434814,52.8966053019019,0.00137970324813472,4.71594234412715,0.00361182223650259,0.00148962160036548,323.891637093293,57.619028793114,1766025942.18018,20241348.2466146,946358409.319521,390306010.623305,4136868083.80654,25199743.2529338,1439732607.27421,593788024.469024,3122931710.36962,6195588458.8027,5315.31533044024,265.647826656574,0,0,10.3193332618431,119.31196648795,27.3393713223065,0.0125785763739299,0.0198224316427603,0.0457805252079643,0.0841506408883557,0.0644622540492807,0.159061562743328,8.32161907248015e-05,0.00166102773819606
"43",325.475563972324,0.000329669913777675,0.575261089311025,0.000757578305471214,0.000312447549714116,53.5281370969177,0.00138553055483558,4.73530655969552,0.00362672595846153,0.0014957683331508,326.052224757404,58.2699516814596,1773075422.44295,20329338.0542992,950253928.260325,391912637.079117,4193440168.47037,25563644.849159,1459736203.38303,602038095.180572,3135571325.8367,6280778111.88313,5191.09831773126,259.439732233476,0,0,10.6047032399262,122.6339319966,28.2090925116366,0.0126801160803792,0.0202960119556168,0.0461682702410118,0.0848101015528902,0.0660598948677568,0.162842063150753,8.33596291776599e-05,0.0016890524923817
"44",327.680528528448,0.000316300599579298,0.549181187917288,0.000724323787915659,0.000298732409705328,54.1600787601949,0.00139162891258347,4.75566771155538,0.00364240237739188,0.00150223374886784,328.231049073163,58.9222827367891,1779647864.46725,20411749.6637104,953892003.604832,393413086.232502,4248922448.8254,25920704.3040277,1479357195.23145,610130368.654778,3147364703.96829,6364330717.01566,5069.78421205358,253.37671875025,0,0,10.8921762279024,125.978057378727,29.0886389521114,0.0127772013859896,0.0207715619099199,0.0465401230346493,0.0854396488756057,0.0676650131851664,0.166638457816372,8.34900819819019e-05,0.00171699591792674
"45",329.902612341615,0.000303556689010701,0.524311013303617,0.000692619140541307,0.000285656481692177,54.7925278688573,0.00139798869950076,4.77698507121871,0.00365882017127568,0.00150900492939619,330.42820518723,59.5760787538762,1785775861.22994,20488957.2058994,957290110.194423,394814565.221429,4303346114.56449,26271107.7465648,1498606374.50929,618069295.701571,3158369493.85169,6446292892.52192,4951.30517351114,247.455395717369,0,0,11.1817669200963,129.344529676913,29.9780318990818,0.0128700396758004,0.0212491809365902,0.0468968296474631,0.0860406703192501,0.0692779084339019,0.170451527819786,8.36087621388133e-05,0.00174487163062066
"46",332.141967866508,0.000291409892461729,0.500594602156553,0.000662392842426839,0.000273190268345532,55.4255793756266,0.00140460072294652,4.79922028795223,0.00367594980545429,0.00151606969377493,332.643789461668,60.231396283801,1791489773.07654,20561309.4002456,960464529.386081,396123788.955842,4356740791.38109,26615032.5229274,1517494000.75161,625859107.654618,3168639400.8187,6526708932.31025,4835.5949476019,241.672451879833,0,0,11.4734901244842,132.733536909603,30.8772934651781,0.0129588287831139,0.0217289644900144,0.0472391020796585,0.0866144891562618,0.0708988692106748,0.174282022618665,8.37167677258868e-05,0.00177269246506723
"47",334.398746172687,0.000279833175373679,0.477978586845731,0.000633576678035799,0.000261305635574087,56.059325749272,0.00141145621357221,4.82233725575664,0.00369376343580994,0.0015234165582719,334.877899475022,60.8882916412363,1796817880.8314,20629131.2807897,963430430.631407,397347013.763236,4409134648.89723,26952647.7614598,1536029837.39128,633503831.24047,3178224456.50683,6605620965.29044,4722.58882816778,236.024653365482,0,0,11.7673607634218,136.145268083569,31.7864466166317,0.013043757429066,0.022211004271877,0.047567619815543,0.087162367446427,0.0725281738232302,0.178130661897238,8.38150928529748e-05,0.00180047053167109
"48",336.673097066995,0.00026880070581322,0.456412074495537,0.00060610558429722,0.000249975749455916,56.6938571073395,0.00141854681725547,4.84630198799645,0.00371223481740321,0.00153103469870302,337.13063402353,61.5468209116693,1801786528.39509,20692725.8058745,966201947.484432,398490068.736517,4460554500.39796,27284114.8996016,1554223185.15222,641007302.350917,3187171270.42191,6683069102.8007,4612.22362121039,230.508841876589,0,0,12.0633938743768,139.579913206389,32.7055151697069,0.0131250056420666,0.0226953884434187,0.0478830312979412,0.087685508875774,0.0741660908171954,0.181998137311451,8.39046375718749e-05,0.00182821726897838
"49",338.965169210396,0.000258287803871962,0.435846531744893,0.000579917504801578,0.000239175016104606,57.329261341618,0.0014258645853942,4.87108249922315,0.00373133921821297,0.0015389139148562,339.402093122466,62.2070399585596,1806420255.55209,20752375.3589011,968792248.417894,399558384.940714,4511025895.01029,27609588.1749891,1572082912.97998,648373178.799654,3195523264.2696,6759091574.96492,4504.43760955243,225.121932923711,0,0,12.3616046106683,143.037663298938,33.6345237872416,0.0132027451580217,0.0231822018266855,0.0481859553373719,0.0881850614632338,0.0758128794829884,0.185885114136734,8.39862168392942e-05,0.0018559434917982
"50",341.275110229506,0.000248270892871792,0.416235674922373,0.000554953250774965,0.000228879024330918,57.9656242367725,0.00143340196395808,4.8966486937634,0.00375105333765819,0.00154704459688728,341.692378007596,62.8690044304344,1810741921.66228,20808343.1474954,971213602.80189,400557022.624509,4560573202.91408,27929215.0829869,1589617486.69224,655604952.138607,3203320890.23618,6833724856.82791,4399.1705183249,219.860914100819,0,0,12.6620082422129,146.518710407887,34.5734979752953,0.0132771398022107,0.0236715260953077,0.0484769824587171,0.0886621201412862,0.0774687903428581,0.189792232823939,8.40605686236088e-05,0.00188365943548836
"51",343.603066823087,0.0002387274523502,0.397535365377406,0.000531156368511029,0.000219064490967826,58.6030295825447,0.00144115178162558,4.92297226067132,0.00377135522960908,0.00155541769356759,344.001591136777,63.5327697679208,1814772820.86294,20860874.5078997,973477442.37474,401490696.572633,4609219694.12623,28243136.8027899,1606834995.51873,662705958.603772,3210601834.31821,6907003785.05153,4296.36348126084,214.722843400729,0,0,12.9646201562766,150.023247618221,35.5224640799056,0.0133483458536523,0.0241634399553263,0.0487566761880161,0.0891177292165097,0.0791340656182522,0.193720110468733,8.41283612372094e-05,0.00191137479675034
