"","S0","F0","L0","I0","J0","S1","F1","L1","I1","J1","N0","N1","cL0","cF0","cI0","cI0dL0","cI0dF0","cJ0","cJ0dL0","cJ0dF0","cL1","cF1","cI1","cI1dL1","cI1dF1","cJ1","cJ1dL1","cJ1dF1","cN0","cN1","LTBIEn","LTBIEnD","curedLTBIEn","curedLTBIEnD","natdeath0","natdeath1","tbdeath0","tbdeath1","tbdeathD0","tbdeathD1","progAcute0","progChron0","progAcute1","progChron1","progTotalD0","progTotalD1","exogenous0","exogenous1","interventionCost"
"67",385.053207396793,0.000128006568053888,0.192475680238773,0.000273930659555825,0.000112977051681215,69.3783028312893,0.0015406341050664,5.46403952918085,0.00420439341895735,0.00173401536488072,385.24619799131,74.8498214033609,1808107179.75942,20780408.2201422,969838834.795771,629119831.267125,629119831.267125,399990027.910119,140522526.879045,140522526.879045,5169680279.55291,31608510.499707,1801094176.27431,1284827589.54669,1284827589.54669,742824151.796763,212923507.520442,212923507.520442,3198716450.68545,7745207118.12359,18.229177685749,8.34477071280242,0,0,210.610517876455,52.5929495917501,0.0141251413077834,0.0324626185225347,0.00945365822737458,0.0160748331072884,0.051795475832875,0.0941037949382412,0.106675264928392,0.260669983523728,0.0977408945269598,0.181515267898528,8.41924786872345e-05,0.00234506436900642,0
"68",387.746301311243,0.00012407712822415,0.184179170473131,0.000263431166858065,0.000108646752432986,70.0528527860611,0.00155135492793795,5.50088449340628,0.00423284454926849,0.00174574944687345,387.930976636763,75.5612672283933,1809326186.9818,20798958.2846533,970567130.820858,629543977.372312,629543977.372312,400290398.587132,140647967.241489,140647967.241489,5205169691.63793,31836930.1881517,1813645220.91707,1293647820.84106,1293647820.84106,748000571.338691,214462204.55113,214462204.55113,3200982674.67444,7798652414.08174,18.5745981868904,8.41477776634632,0,0,214.575510762315,53.7281240438852,0.0141600490790352,0.0330107966562894,0.00946073369355401,0.0161859335800612,0.0519467059255589,0.0943146845005449,0.108530445597694,0.265055921554811,0.0978142926034428,0.182780169123987,8.42075854655154e-05,0.00237388991748427,0
"69",390.460441739129,0.000120344008843422,0.176270975353204,0.000253433306880816,0.00010452334125593,70.729802354783,0.00156220239885188,5.53819853514628,0.00426166072847917,0.00175763408575694,390.637191015138,76.2755823871443,1810465489.70072,20816524.1988977,971251557.861362,629940390.78315,629940390.78315,400572676.406097,140766752.52378,140766752.52378,5240064149.7742,32061567.9176765,1825986629.5476,1302320187.43075,1302320187.43075,753090530.830381,215975425.279841,215975425.279841,3203106248.16707,7851202878.06977,18.9225681426139,8.48365340845763,0,0,218.568149655805,54.8740588884279,0.0141936253674063,0.0335626956276227,0.00946738024184728,0.0162951741577831,0.0520933394504939,0.0945165012143992,0.110398567401425,0.26947152378124,0.0978832695393801,0.184023943116112,8.42215095549003e-05,0.00240283291731575,0
"70",393.195777387535,0.000116798269759939,0.168733162795478,0.000243913991277837,0.000100597295837752,71.4092133925982,0.00157317445210817,5.57597363487688,0.00429083560246595,0.00176966666090403,393.364971859886,76.9928207041925,1811530487.07141,20833168.7286973,971895023.639092,630310950.102669,630310950.102669,400838060.596912,140879307.164737,140879307.164737,5274374949.22702,32282493.4208266,1838122348.3456,1310847496.54322,1310847496.54322,758095657.792268,217463639.443931,217463639.443931,3205096740.03611,7902875448.78562,19.2731058020076,8.55141581430582,0,0,222.588655079153,56.0307978424973,0.0142259338341961,0.0341183624440909,0.00947362635273314,0.0164025901765487,0.0522356065269268,0.0947096697925752,0.112279781136524,0.273917162175867,0.0979481183765852,0.185246987573074,8.42343539094678e-05,0.00243189757777113,0
"71",395.952457455541,0.000113431345917868,0.161548628849798,0.000234851215597573,9.68595408961736e-05,72.0911471066679,0.00158426935636696,5.61420235005912,0.00432036317074901,0.00178184469754056,396.114451226492,77.7130359339535,1812526210.5301,20848950.4341872,972500238.97314,630657405.988322,630657405.988322,401087669.181011,140986027.163228,140986027.163228,5308113069.48929,32499774.550027,1850056214.30313,1319232476.9266,1319232476.9266,763017534.712604,218927304.115753,218927304.115753,3206963069.11844,7953686593.05495,19.6262295527042,8.61808287133412,0,0,226.637248902649,57.1983854350528,0.0142570352182094,0.0346778433181999,0.00947949857638641,0.016508215977238,0.0523737268129239,0.0948945953815634,0.114174235261435,0.278393202556012,0.0980091123129063,0.186449689189059,8.42462121258009e-05,0.00246108797408222,0
"72",398.730631677192,0.000110235063151188,0.154701059230594,0.000226223992029374,9.33014204414927e-05,72.7756640936103,0.00159548552438583,5.65287778381779,0.00435023785746744,0.00179416589601765,398.885762496898,78.4362817667078,1813457349.27217,20863923.9605346,973069731.411537,630981390.016953,630981390.016953,401322544.593457,141087282.044092,141087282.044092,5341289190.06871,32713477.3662703,1861791960.59678,1327477782.7733,1327477782.7733,767857701.263093,220366864.300089,220366864.300089,3208713549.23769,8003652329.29475,19.9819579218288,8.68367218369932,0,0,230.714154358323,58.3768670058777,0.0142869874722805,0.0352411837203873,0.00948502166614171,0.0166120849561004,0.0525079099752774,0.0950716644709316,0.116082076145457,0.282900005033676,0.0980665060760329,0.187632424195669,8.42571693357604e-05,0.00249040805587518,0
"73",401.530450360139,0.000107201662378954,0.148174895109573,0.000218012284400641,8.99146709674963e-05,73.4628243727529,0.00160682130286638,5.69199355747472,0.0043804545972447,0.00180662816722521,401.679040383865,79.1626118342968,1814328272.03278,20878140.2767494,973605856.725255,631284422.263237,631284422.263237,401543658.423408,141183416.473034,141183416.473034,5373913703.96443,32923666.2642077,1873333221.98019,1335585997.06937,1335585997.06937,772617656.522916,221782753.776788,221782753.776788,3210355927.45819,8052788248.73165,20.3403095769129,8.74820107642774,0,0,234.819596053064,59.5662887047297,0.0143158458850278,0.0358084284244466,0.00949021869351056,0.0167142296033054,0.0526383561033609,0.0952412457024156,0.118003448308365,0.287437924411051,0.0981205370818673,0.188795558905387,8.42673029321818e-05,0.00251986165422906,0
"74",404.352064424257,0.000104323739361657,0.141955299116926,0.000210196987066407,8.66914127449027e-05,74.1526874183906,0.00161827519317409,5.73154378402975,0.00441100869617041,0.00181922957525672,404.494420935512,79.8920797158869,1815143048.18894,20891646.9176526,974110810.217896,631567918.642004,631567918.642004,401751916.078565,141274751.89288,141274751.89288,5405996730.75823,33130404.0383955,1884683539.11961,1343559634.84807,1343559634.84807,777298860.76686,223175395.54703,223175395.54703,3211897421.40305,8101109534.683,20.701303326833,8.81168659960099,0,0,238.95379998203,60.766697490536,0.0143436631993435,0.036379621563302,0.00949511115863633,0.0168146815455086,0.0527652561572748,0.0954036906714566,0.119938494464406,0.292007310571077,0.0981714265743217,0.189939450148519,8.42766832564703e-05,0.00254945248924337,0
"75",407.195625440674,0.000101594195138349,0.136028121143897,0.000202759897964964,8.36241387087137e-05,74.8453121923958,0.00162984600460787,5.77152304146504,0.00444189572707255,0.00183196829421637,407.332041540048,80.6247389438886,1815905468.74495,20904488.2336453,974586638.12271,631833198.210006,631833198.210006,401948161.485636,141361588.212582,141361588.212582,5437548129.66382,33333751.9044444,1895846362.18253,1351401146.43304,1351401146.43304,781902736.945349,224545201.975787,224545201.975787,3213344756.58693,8148630980.69604,21.0649581227823,8.87414553263186,0,0,243.116993542499,61.9781411306191,0.0143704897319236,0.0369548066833677,0.00949971909930123,0.0169134715925019,0.0528887924139215,0.095559334733809,0.121887355597082,0.296608508869649,0.0982193807739153,0.191064445634852,8.42853742749563e-05,0.0025791841776607,0
"76",410.061285669283,9.90062708395922e-05,0.130379865752876,0.000195683650583475,8.07056863988341e-05,75.5407571760465,0.00164153258438072,5.81192634692842,0.00447311164759554,0.00184484265691794,410.192040930642,81.3606430098657,1816619066.0227,20916705.6114766,975035248.073464,632081490.01704,632081490.01704,402133181.408828,141444205.300105,141444205.300105,5468577511.78255,33533769.5899887,1906825055.36936,1359112920.48421,1359112920.48421,786430672.553477,225892575.404618,225892575.404618,3214704201.11647,8195367009.29527,21.4312930592548,8.93559438849897,0,0,247.309405547833,63.2006682000081,0.014396373489682,0.0375340267855916,0.00950406119447826,0.017010629774415,0.0530091388566361,0.0957084977769103,0.123850171217906,0.30124186050792,0.0982645919330349,0.192170884410366,8.42934342017272e-05,0.00260906023935472,0
