"N0","S0","L0","F0","I0","J0","N1","S1","L1","F1","I1","J1","latCost","actCost","totCost"
2805322,2788584,16710,7,20,1,433806,387355,46401,7,29,14,1.79189e+09,4.60229e+09,6.39418e+09
2806441,2789740,16674,6,19,2,434208,387771,46386,8,28,15,1.79417e+09,4.61175e+09,6.40593e+09
2807558,2790910,16622,6,17,3,434607,388194,46362,8,30,13,1.79973e+09,4.62142e+09,6.42115e+09
2808676,2792076,16573,6,17,4,435009,388587,46369,8,31,14,1.80157e+09,4.63022e+09,6.4318e+09
2809799,2793241,16529,5,17,7,435407,388989,46367,6,30,15,1.80385e+09,4.63885e+09,6.44269e+09
2810918,2794413,16478,5,16,6,435804,389398,46353,6,32,15,1.80512e+09,4.64821e+09,6.45333e+09
2812038,2795581,16432,4,15,6,436202,389807,46343,5,31,16,1.81121e+09,4.65707e+09,6.46828e+09
2813164,2796752,16387,5,14,6,436613,390223,46340,4,29,17,1.81672e+09,4.66699e+09,6.48371e+09
2814284,2797924,16336,6,13,5,437012,390655,46308,5,29,15,1.82181e+09,4.67763e+09,6.49943e+09
2815407,2799101,16279,7,15,5,437402,391085,46267,6,29,15,1.82406e+09,4.68868e+09,6.51274e+09
2816532,2800277,16231,6,13,5,437810,391489,46272,5,30,14,1.82955e+09,4.69765e+09,6.5272e+09
2817650,2801433,16194,6,12,5,438204,391887,46268,5,28,16,1.83461e+09,4.70587e+09,6.54048e+09
2818774,2802600,16151,5,13,5,438599,392292,46257,6,29,15,1.83686e+09,4.71434e+09,6.5512e+09
2819895,2803781,16091,5,14,4,438987,392705,46232,5,29,16,1.84106e+09,4.72359e+09,6.56465e+09
2821010,2804954,16034,5,13,4,439386,393131,46207,4,28,16,1.8461e+09,4.73319e+09,6.57929e+09
2822131,2806123,15984,4,15,5,439778,393553,46176,5,30,14,1.85071e+09,4.74273e+09,6.59344e+09
2823262,2807297,15940,3,15,7,440180,393965,46167,5,29,14,1.85294e+09,4.7523e+09,6.60524e+09
